Segundo,DAC,Tensao,Corrente,Potencia,Impedancia,Temperatura
1.82,0.27450980392156865,9.518775354866087,0.03816081882947393,0.3632442617955062,249.4384462084486,4.559046666666666
3.98,0.5882352941176471,12.453910358188534,0.04244198733899081,0.5285687057431642,293.43372304216575,4.559046666666666
6.05,0.7843137254901961,25.385987037770274,0.07929723865981579,2.0130386727490595,320.1370875810172,4.55962
8.18,0.803921568627451,37.59434290830295,0.11827555423703473,4.446491743656668,317.85387226307597,4.55962
10.24,0.803921568627451,39.83470679067406,0.12490184997710256,4.9754285714506405,318.928076709646,4.55962
12.49,0.803921568627451,39.867803808000524,0.12514906620695918,4.989418418293517,318.56253519359933,4.560193333333333
14.03,0.803921568627451,40.96837678204685,0.12314490376350608,5.045046816172216,332.6843054806772,4.560193333333333
16.2,0.8431372549019608,57.25212094020439,0.07751081868733194,4.437658765661383,738.633934072502,4.562486666666667
17.8,0.8431372549019608,60.47637650762091,0.08197178784492548,4.957356704712537,737.7706171546524,4.5579
1.52,0.29411764705882354,9.51997254142165,0.03820191486103615,0.3636811805067918,249.20144909101134,4.5579
3.06,0.5686274509803921,11.799057175343673,0.049276631790383135,0.5814177959030883,239.44528565863519,4.560193333333333
4.85,0.7254901960784313,20.442899420111537,0.10313316172534125,2.108340852029248,198.2184883903199,4.560766666666667
7.04,0.7647058823529411,27.618334572250635,0.14996480940559176,4.141778280227432,184.16543642285205,4.561913333333333
9.02,0.7647058823529411,29.62424844118487,0.1643304678789349,4.868166606901718,180.2724036726383,4.559046666666666
11.08,0.7647058823529411,29.771331029122457,0.1662804752800237,4.950391073241399,179.04285502543948,4.560766666666667
12.51,0.7647058823529411,29.97540349708634,0.16734116273420496,5.016118874629382,179.1274962317403,4.560766666666667
13.94,0.7647058823529411,29.90446234238924,0.16818036733621655,5.029343461735078,177.8118505509383,4.5613399999999995
15.45,0.7647058823529411,30.048281301661977,0.16884060250079855,5.073369919086088,177.96833733473477,4.55962
17.62,0.7647058823529411,30.18654585764091,0.170235779134977,5.138830153469213,177.32198255283643,4.560193333333333
19.51,0.7647058823529411,30.11373235570333,0.17068278257216715,5.139895632104946,176.4309902961115,4.55962
21.68,0.7647058823529411,30.12585843198136,0.17201206092640225,5.1820109960621465,175.13805874851488,4.559046666666666
23.15,0.7647058823529411,30.257799390180615,0.17250040222878985,5.2194825653641885,175.40712368919145,4.560766666666667
24.59,0.7647058823529411,30.22873196404936,0.17287600340013817,5.225822369798863,174.85788293058837,4.560766666666667
26.69,0.7647058823529411,30.147881228241758,0.1741992114951277,5.251737138208476,173.06554357787655,4.560193333333333
28.67,0.7647058823529411,30.373124637528985,0.17464222172180868,5.304429967331467,173.91627487373003,4.560766666666667
30.12,0.7647058823529411,30.302563301828226,0.1748952704708819,5.2997750046342675,173.2611935145111,4.560193333333333
31.57,0.7647058823529411,30.292713433792986,0.17488342555436753,5.2976934946385255,173.2166060778334,4.562486666666667
33.02,0.7647058823529411,30.211865963498266,0.17558593851563814,5.304778839509507,172.06312885247084,4.562486666666667
34.47,0.7647058823529411,30.167427330972536,0.17657892914759254,5.326932013240946,170.84386838566257,4.560193333333333
35.92,0.7647058823529411,30.161325410980623,0.1765558781543266,5.32515929423409,170.83161278049752,4.560766666666667
37.4,0.7647058823529411,30.177989820315148,0.1765995497233573,5.329419413823715,170.8837302676529,4.5613399999999995
39.58,0.7647058823529411,30.194473852811548,0.17711109151948673,5.347776221928055,170.48324638375,4.55962
41.29,0.7647058823529411,30.18426330387417,0.17759359126559046,5.360531719841191,169.962570657934,4.5613399999999995
42.84,0.7647058823529411,30.15710362439908,0.17844059704048124,5.381251575749433,169.00360189647654,4.561913333333333
44.38,0.7647058823529411,30.12445660802846,0.17846082709996217,5.37603544220568,168.80150729747933,4.560193333333333
46.41,0.7647058823529411,30.08161576898964,0.17846958254343592,5.36865340852362,168.553180549231,4.562486666666667
48.52,0.7647058823529411,30.071542522026178,0.17933312207465227,5.392823606075617,167.68537888671833,4.560193333333333
50.06,0.7647058823529411,30.30240136558881,0.1795836294297082,5.441815217668185,168.73699157221697,4.561913333333333
51.59,0.7647058823529411,30.06829519802851,0.18049742549473588,5.427249872259876,166.5857289410781,4.5613399999999995
53.07,0.7647058823529411,30.082109986335386,0.18036970382312756,5.425901268610061,166.78028154791573,4.561913333333333
55.33,0.7647058823529411,29.874702450749798,0.18009134304005522,5.38017528727756,165.88638824302166,4.561913333333333
57.11,0.7647058823529411,30.09263458399322,0.18039463704173486,5.428549893409015,166.81557211166535,4.5613399999999995
58.65,0.7647058823529411,30.24047424304125,0.18093153314948726,5.471455367961033,167.13766647882377,4.55962
0.67,1.0588235294117647,9.538156452822967,0.038282332650126795,0.3651428781959223,249.15295888562778,4.560193333333333
2.64,0.8235294117647058,49.948745830453475,0.25948702036269256,12.961051226397835,192.49034406668457,4.560766666666667
4.78,0.7647058823529411,35.284200249761184,0.1800851067488958,6.354158968527659,195.9306956957868,4.560766666666667
6.28,0.7647058823529411,32.063446017774865,0.1623690197275727,5.20611029899405,197.47268334545478,4.560193333333333
7.82,0.7647058823529411,31.82766782191671,0.16313522860881322,5.19221386621375,195.09990633744238,4.5613399999999995
9.36,0.7647058823529411,31.88508006099325,0.1633986254362391,5.209978253890731,195.13677043406554,4.562486666666667
10.87,0.7647058823529411,31.94067932684987,0.16351094491313997,5.222650657900818,195.3427603504912,4.560193333333333
12.85,0.7647058823529411,31.947903273024888,0.16382177987698152,5.233762377524581,195.01621394307574,4.5613399999999995
14.99,0.7647058823529411,31.852202128392157,0.16509586550401575,5.258666878595756,192.93155543993555,4.560766666666667
16.47,0.7647058823529411,31.921667179177586,0.1652800607092257,5.2760150893141695,193.13683115918508,4.5613399999999995
18.5,0.7647058823529411,32.017847133552806,0.16504919995756995,5.284520053756665,193.98971422935585,4.5613399999999995
20.6,0.7647058823529411,32.03528315932883,0.16608559368204195,5.320599022289449,192.88417766478833,4.55962
22.11,0.7647058823529411,31.990861034222796,0.16688047541147663,5.338650098213583,191.69924435643557,4.561913333333333
23.81,0.7647058823529411,31.85101967331513,0.1670913706383535,5.322030533443387,190.62037465867894,4.5613399999999995
26.13,0.7647058823529411,31.98894693124471,0.16678819106763704,5.335378592820944,191.79383580143477,4.560766666666667
27.65,0.7647058823529411,31.723494310768963,0.16919376559757013,5.367417460352094,187.49800974477844,4.560766666666667
29.83,0.7647058823529411,31.605139336246463,0.16923356156783004,5.348650293720513,186.75456004971505,4.560193333333333
31.87,0.7647058823529411,31.877581252076084,0.16815845509594382,5.360484815544536,189.568709071977,4.560766666666667
33.96,0.7647058823529411,31.72953191837814,0.16935809449198355,5.373653064819093,187.35172956188424,4.561913333333333
36.11,0.7647058823529411,31.62656483907279,0.1698163737997063,5.370708556712633,186.23978437070764,4.562486666666667
38.04,0.7647058823529411,31.84217611160063,0.16983119910517994,5.407794951151451,187.4930888987018,4.5613399999999995
40.02,0.7647058823529411,31.65876773531233,0.17130061619127046,5.423166420915314,184.8140913863547,4.55962
42.04,0.7647058823529411,31.46838226989293,0.1713544802317616,5.392248287591886,183.64493433338356,4.560766666666667
43.81,0.7647058823529411,31.412255869081815,0.17155027053486205,5.388780992451293,183.10816865018168,4.5613399999999995
45.98,0.7647058823529411,31.282281022333613,0.17280496647042082,5.405733523182642,181.02651596930943,4.560766666666667
